名称,分类,等级
にもまして/まして,時点・場面,N1
おりに（は） ,時点・場面,N1
にあって（は）/にあっても/あって,時点・場面,N1
をひかえ/をひかえて ,時点・場面,N1
にして,時点・場面,N1
にして,時点・場面,N1
やらぬ,時点・場面,N1
だけのことだ,時点・場面,N1
とみられている ,時点・場面,N1
ばきりがない,時点・場面,N1
やむをえない ,時点・場面,N1
まず～ないだろう,時点・場面,N1
のがやっとだ,時点・場面,N1
いっこうに~ない ,時点・場面,N1
よもや～ない,時点・場面,N1
とする,時点・場面,N1
だけましだ,時点・場面,N1
ばかり（副助词）,時点・場面,N1
のことと存じます,時点・場面,N1
v-られる覚えはない,時点・場面,N1
と会います,時点・場面,N1
てからというもの（は）,時間的前後,N1
がはやいか/はやいか ,時間的前後,N1
そばから,時間的前後,N1
やいなや/いなや/や ,時間的前後,N1
なり,時間的前後,N1
にひかえる ,時間的前後,N1
（よ）うとしたところで,時間的前後,N1
はずみ（に）,時間的前後,N1
をかねて ,並列,N1
つ～つ,反復,N1
と/に～をかさねて ,反復,N1
にひきかえ/ひきかえ/にひきかえて,対比,N1
どころか/どころではなく,対比,N1
と（は）うってかわって ,対比,N1
ではあるまいし/じゃあるまいし,原因・理由,N1
こととて,原因・理由,N1
ばこそ,原因・理由,N1
とあって,原因・理由,N1
ものだから/もので/もんだから,原因・理由,N1
ゆえ（に）,原因・理由,N1
こともあって,原因・理由,N1
におうところがおおい/におうところがおおきい ,原因・理由,N1
にかこつけて,原因・理由,N1
によるところが大きい,原因・理由,N1
だからこそ,原因・理由,N1
など～ばこそ,原因・理由,N1
も～ばこそ,原因・理由,N1
かいなか ,変化・不定,N1
とも～とも,変化・不定,N1
とみるや ,決定,N1
にたえる/にたえない ,可能・難易,N1
にたる/にたりる ,可能・難易,N1
（よ）うにも∼ない,可能・難易,N1
にかたくない/かたくない,可能・難易,N1
すべがない ,可能・難易,N1
とうてい～ない ,可能・難易,N1
べく,目的,N1
んがため（に）,目的,N1
ことのないよう（に）,目的,N1
ものを,逆接・譲歩,N1
といえども,逆接・譲歩,N1
（か）とおもいきや ,逆接・譲歩,N1
ところを,逆接・譲歩,N1
とはいえ,逆接・譲歩,N1
ながらも,逆接・譲歩,N1
ずとも,逆接・譲歩,N1
こそすれ/こそあれ,逆接・譲歩,N1
はどうであれ,逆接・譲歩,N1
てなによりだ,逆接・譲歩,N1
～はともあれ,逆接・譲歩,N1
とあれば/とあらば,条件,N1
も～ば～も/も～なら～も,条件,N1
たらさいご/がさいご ,条件,N1
なくして（は）,条件,N1
いざ～となると/いざ～となれば/いざ～となったら,条件,N1
とあっては,条件,N1
をへて,条件,N1
をぜんていとして ,条件,N1
ないうちに,条件,N1
によりけり,条件,N1
ならば,条件,N1
と,条件,N1
であれ/であろう,逆接条件,N1
たところで,逆接条件,N1
（よ）うが,逆接条件,N1
（よ）うが∼まいが/まいが,逆接条件,N1
（よ）うと（も） ,逆接条件,N1
（よ）うと∼まいと/まいと,逆接条件,N1
（よ）うとも/くとも,逆接条件,N1
（よ）うが～（よ）うが/（よ）うと～（よ）うと,逆接条件,N1
とて,逆接条件,N1
てもどうにもならないても/てもどうなるものでもない,逆接条件,N1
てもはじまらない ,逆接条件,N1
せめてもの,逆接条件,N1
よしんば ,逆接条件,N1
うと～まいと,逆接条件,N1
はずではなかった,逆接条件,N1
おりから ,意図的行為・動作の開始と終了,N1
まみれ,様子・状態,N1
ずくめ,様子・状態,N1
とばかりに/と言わんばかり（に）,様子・状態,N1
ともなく/ともなしに,様子・状態,N1
んばかりに/んばかりだ,様子・状態,N1
ぶり/っぷり,様子・状態,N1
ないでいる,様子・状態,N1
ごとき ,比況,N1
ごとく ,比況,N1
びる/びて/びた,比況,N1
かのごとく,比況,N1
きらいがある ,傾向,N1
めく/めいた,傾向,N1
も同然だ/も同然の,傾向,N1
たつもりはない,傾向,N1
てやってもらえないか,願望,N1
むりもない/のもむりはない/のはむりもない ,推量,N1
のももっともだ,推量,N1
とやら(连语) ,説明,N1
はいけんいたす ,敬意,N1
ときたら,話題,N1
たるや,話題,N1
にいたっても ,話題,N1
にいたっては ,話題,N1
におかれましては,話題,N1
にかかったら/にかかっては/にかかると,話題,N1
～は～ですか,話題,N1
をもって/もって/でもって,手段・媒介,N1
よう,手段・媒介,N1
ただ∼のみ,限定,N1
をおいて/おいて,限定,N1
をかぎりに/かぎりに ,限定,N1
ならでは/ならではの,限定,N1
にしてはじめて,限定,N1
でしかない,限定,N1
にとどまらず/とどまらず,非限定,N1
ただ∼だけでなく/ひとり～だけでなく/だけでなく/ただ∼のみならず,非限定,N1
ただ～のみならず/のみか,非限定,N1
～ばかりだ,非限定,N1
となく～となく,非限定,N1
はおろか/おろか,付加,N1
とあいまって,付加,N1
もさることながら/さることながら,付加,N1
かたがた,付帯状態・非付帯状態,N1
かたわら ,付帯状態・非付帯状態,N1
がてら,付帯状態・非付帯状態,N1
ともすると,相関関係,N1
なりに/なりの,判断の立場,N1
にのっとって ,判断の立場,N1
たる,評価の視点,N1
ともあろう,評価の視点,N1
ともなると/ともなれば,評価の視点,N1
にたりない ,評価の視点,N1
たるもの（は）,評価の視点,N1
にそくして/にそくした/にそくしては/にそくしても ,基準,N1
をふまえて/ふまえて ,基準,N1
ようによっては,基準,N1
に準じ/に準じて/に準じる/,基準,N1
にてらして,基準,N1
に則って,基準,N1
いかんで/いかんによって,関連・対応,N1
いかんでは/いかんによっては,関連・対応,N1
いかんだ,関連・対応,N1
いかんにかかっている,関連・対応,N1
にかかっている,関連・対応,N1
いかんにかかわらず,無関係・除外,N1
いかんによらず,無関係・除外,N1
はいざしらず/いざしらず/ならいざしらず,無関係・除外,N1
をものともせず（に）/ものともせず（に）/をものともせず,無関係・除外,N1
をよそに/よそに,無関係・除外,N1
はそっちのけで/をそっちのけで ,無関係・除外,N1
もかえりみず/をかえりみず ,無関係・除外,N1
を押して/を押し切って,無関係・除外,N1
をないがしろにする ,無関係・除外,N1
をなおざりにして ,無関係・除外,N1
いかんをとわず ,無関係・除外,N1
であれ～であれ/であろうと～であろうと,例示,N1
といい～といい,例示,N1
といわず～といわず ,例示,N1
なり～なり,例示,N1
たると～たるとをとわず ,例示,N1
やれ～やれ,例示,N1
なりとも/なりなんなりと,例示,N1
のなんの,例示,N1
が～なら、～も～だ,例示,N1
かれ～かれ,例示,N1
や,例示,N1
あっての,軽重の強調,N1
からある/からする/からの,軽重の強調,N1
きわまる ,軽重の強調,N1
のきわみ/きわみ ,軽重の強調,N1
までだ,軽重の強調,N1
というもの,軽重の強調,N1
だに,軽重の強調,N1
といえども～ない,軽重の強調,N1
やら,軽重の強調,N1
たりとも～ない,軽重の強調,N1
のいたりだ/いたりだ ,軽重の強調,N1
にして,軽重の強調,N1
きわまりない ,軽重の強調,N1
といって～ない/といったない,軽重の強調,N1
ならずとも,軽重の強調,N1
しまつだ ,経過・結末,N1
っぱなし,経過・結末,N1
にいたって/いたって ,経過・結末,N1
にいたる/いたる ,経過・結末,N1
べくして,経過・結末,N1
そびれる,経過・結末,N1
なしに/なしで,否定,N1
なしには/なしでは～ない,否定,N1
べくもない,否定,N1
でもなんでもない/くもなんともない,否定,N1
はしない/やしない,否定,N1
たためしがない ,否定,N1
ざる,否定,N1
あらばこそ,否定,N1
なにひとつ～ない ,否定,N1
ことがない ,否定,N1
れないものは〜れない,否定,N1
といえなくもない ,部分否定,N1
には無理がある,部分否定,N1
にもほどがある,部分否定,N1
まんざら～ない ,部分否定,N1
でなくてなんだろう,主張・断定,N1
ばそれまでだ/ならそれまでだ/たらそれまでだ,主張・断定,N1
までだ/までのことだ,主張・断定,N1
など、ありはしない,主張・断定,N1
さぞ〜ことだろう/さぞかし〜ことだろう,主張・断定,N1
のではあるまいか,主張・断定,N1
のではないだろうか/のではなかろうか,主張・断定,N1
かぎりだ ,心情の強調,N1
てやまない,心情の強調,N1
といったらありはしない/といったらありゃしない/といったらない/ったらない/ったらありゃしない　,心情の強調,N1
てはやりきれない,心情の強調,N1
てはばからない ,心情の強調,N1
てもともとだ,心情の強調,N1
にしのびない ,心情の強調,N1
にたえない ,心情の強調,N1
すら,強調,N1
ですら,強調,N1
でもって,強調,N1
にかかせない/がかかせない ,強調,N1
ものかは,強調,N1
をば,強調,N1
こそ～が,強調,N1
だんじて～ない ,強調,N1
はいうにおよばず ,強調,N1
ばかり（副助词）,強調,N1
ばかり（副助词）,強調,N1
ずにはおかない/ないではおかない,強制,N1
ずにはすまない/ないではすまない/ないではすませない/ないではすまされない,強制,N1
をきんじえない/きんじえない,強制,N1
をよぎなくさせる/よぎなくさせる ,強制,N1
をよぎなくされる/よぎなくされる ,強制,N1
ずして,強制,N1
ずにはおくものか/ないでおくものか,強制,N1
ずにはすまさない,強制,N1
ずばなるまい,強制,N1
てはいられない,強制,N1
てばかりもいられない/てばかりはいられない,強制,N1
ではすまされない/すまない ,強制,N1
ずにいる,強制,N1
ずにおく,強制,N1
のだった/んだった,感嘆,N1
なんて,感嘆,N1
まさか～ないだろう,感嘆,N1
にかかわる/かかわる,対象,N1
にかまけて,対象,N1
にまつわる ,対象,N1
なければよかったのに,反実仮想,N1
仮に～ても,反実仮想,N1
よくも～ものだ,判断,N1
をして,其它,N1
を（も）じさない ,其它,N1
をさまたげる ,其它,N1
んとする／（よ）うとする,其它,N1
ただ～でさえ,其它,N1
ならまだしも,其它,N1
ようでは,其它,N1
だけで,其它,N1
とされている,其它,N1
ものとする/ものとして,其它,N1
だの～だの,其它,N1
ときている,其它,N1
ぶる,其它,N1
おきに,其它,N1
につぐ ,其它,N1
ふんだけ ,其它,N1
もってのほか,其它,N1
やってのける ,其它,N1
ものですか/ものだろうか,其它,N1
みるからに,其它,N1
ほうがましだ,其它,N1
とばかりはいえない ,其它,N1
のではないか,其它,N1
たおぼえはない ,其它,N1
との,其它,N1
をかねて ,並列,N1
つ～つ,反復,N1
と/に～をかさねて ,反復,N1
に（は）あたらない/あたらない ,程度,N1
ないまでも/てまでも,程度,N1
はめになる/はめにおちいる ,程度,N1
を限りに,程度,N1
とまではいかないが/とまではいかないとしても,程度,N1
とまではいわないが/とまではいわないとしても ,程度,N1
にあたいする/にあたいしない ,程度,N1
そればかり ,程度,N1
ことこのうえない ,程度,N1
ぐらいのものだ,程度,N1
たいして～ない ,程度,N1
いかに～か,程度,N1
せめて/せめて～だけでも/せめて～なりとも,程度,N1
てばかリもいられない,程度,N1
にのぼる,程度,N1
ことがあります,程度,N1
なみ ,比較,N1
ほどの～ではない,比較,N1
とはくらべものにならない ,比較,N1
さほど～ない ,比較,N1
にしくはない ,申し出,N1
てしかるべきだ,助言,N1
てもしらない ,助言,N1
たまえ,命令,N1
するんじゃない,命令,N1
べからざる,禁止,N1
べからず,禁止,N1
まじき,禁止,N1
いわずもがな ,禁止,N1
するんじゃない,禁止,N1
ざるべからず,義務,N1
までもない/までもなく/までのこともない,不必要,N1
にはおよばない ,不必要,N1
よし ,伝聞,N1
じみる ,伝聞,N1
ものとおもわれる,引用,N1
をかわきりに（して）/かわきりに ,起点・終点,N1
にしてからが,起点・終点,N1
を機に,起点・終点,N1
を振り出しに,起点・終点,N1
をまえにして/をまえにした ,起点・終点,N1
にいたるまで/いたるまで ,限界,N1
をもって/もって,限界,N1
におよんで ,限界,N1
をさかいにして ,限界,N1
といったところだ/というところだ,範囲,N1
ぐるみ,範囲,N1
にいうところの/でいうところの,範囲,N1
ばかり（副助词）,範囲,N1
